,Name,Is Potentially Hazardous,Minimum Orbit Intersection,Absolute Magnitude,Close Approach Date,Miles per Hour,Miss Distance,First Observationv Date,Last Observationv Date
18821,(2012 EP5),False,.250753,21.5,1901-03-05,29833.7560454126,40479892,2012-03-13,2017-02-26
18822,(2012 EO5),False,.0266334,23.4,1905-10-05,50101.8482160341,31564416,2009-09-28,2012-04-12
18823,(2012 EZ11),False,.275404,21.6,1905-03-13,23069.8839230844,39982984,2012-03-14,2016-10-07
18824,(2012 FR1),True,.0074036,19.1,1901-02-12,10526.7544187567,177299584,2012-03-16,2015-04-15
18825,(2012 FA14),False,.0283611,23.1,1902-10-04,14493.3250912908,5856306.5,2012-03-21,2017-04-01
18826,(2012 FL35),False,.162032,19.7,1904-04-21,70055.0562436406,20702206,2010-04-11,2015-02-17
18827,(2012 FT35),False,.00200992,29.2,1925-03-29,14264.8860899831,24389.744140625,2012-03-24,2012-03-28
18828,(2012 FD58),False,.150897,21.4,1906-12-18,53079.0835518141,37503376,2012-03-27,2012-04-20
18829,(2012 FS62),False,.114955,20.2,1900-06-06,28323.4652672509,15010958,2012-03-29,2016-04-15
18830,(2012 FC71),False,.0562441,25.2,1900-01-26,18587.5458659578,19319786,2012-03-31,2012-04-21
18831,(2012 GS5),False,.236051,18.7,1907-12-02,19229.9497719956,126451296,2012-04-11,2018-05-06
18832,(2012 GA5),False,.0972344,24.2,1901-05-14,8370.7050844133,12123255,2001-03-20,2017-12-30
18833,(2012 GV11),False,.0749562,22.3,1901-06-29,29394.6638580931,22439958,2012-04-13,2014-02-08
18834,(2012 HM),False,.00285931,24.1,1939-04-28,15948.0345966826,469965.125,2012-04-16,2012-04-27
18835,(2012 HA2),False,.0619393,21.2,1900-04-05,43692.5705054077,23032700,2012-04-18,2013-06-21
18836,(2012 HO2),False,.159312,20.4,1900-09-23,49225.9941533563,27055434,2012-04-19,2016-03-26
18837,(2012 HP13),False,.00039474,24.2,1900-11-01,29753.9270084526,8341752,2012-04-22,2014-05-06
18838,(2012 HD20),False,.0436368,22.3,1902-10-26,37043.6548531979,30041358,2012-04-24,2016-06-08
18839,(2012 HP15),False,.168649,21.9,1901-04-19,48821.8966976373,9604336,2012-04-23,2018-04-16
18840,(2012 HZ33),True,.000986376,20.4,1902-05-03,40017.8714650228,24022544,2012-04-28,2016-11-30
18841,(2012 HL31),False,.145511,22.3,1900-05-31,26212.7721617675,25989078,2012-04-28,2017-05-02
18842,(2012 KB4),False,.071321,25.3,1900-10-15,10719.6965624679,11212037,2012-05-17,2012-05-29
18843,(2012 KC6),True,.0489808,21.7,1906-12-12,11678.3977011254,29456620,2008-08-25,2015-10-13
18844,(2012 KF25),False,.0189124,25.3,1956-01-01,37565.4233424696,41305052,2012-05-25,2012-05-28
18845,(2012 KF47),False,.144193,21.0,1900-07-18,22990.0585499722,17261868,2004-04-25,2014-02-26
18846,(2012 LD1),False,.0839764,21.8,1902-11-27,19442.3143857538,26227442,2012-06-09,2016-07-29
18847,(2012 LE11),False,.155842,18.1,1905-07-02,30815.0796497702,34527340,2012-06-14,2017-12-25
18848,(2012 LF11),False,.110975,20.8,1900-09-24,31007.4891812898,13600499,2012-06-14,2018-06-13
18849,(2012 MP),False,.202352,21.0,1900-06-18,16457.2397904736,19620838,2009-11-18,2015-06-17
18850,(2012 MO3),False,.0879451,20.8,1904-06-25,54510.9998244919,33382324,2012-06-17,2013-10-23
18851,(2012 MS6),False,.291101,18.0,1911-08-01,23477.7618392442,45290592,2012-06-23,2016-03-30
18852,(2012 MB7),False,.0868886,22.2,1903-06-21,29517.3940421887,8682612,2012-06-22,2012-12-12
18853,(2012 OQ),True,.0151445,21.9,1901-01-25,34769.8989332624,10845376,2012-07-16,2018-02-10
18854,(2012 PN),False,.0228842,24.7,1902-09-14,38119.4540087419,33913608,2012-08-07,2012-10-17
18855,(2012 PA),False,.146888,20.3,1900-01-21,42380.3671217407,43204728,2012-08-02,2013-11-19
18856,(2012 OP4),True,.0486794,20.0,1929-08-06,64961.8191510562,31622464,2012-07-28,2016-03-12
18857,(2012 OD1),True,.0382529,18.6,1901-07-27,52901.8951915672,3458762.5,2012-07-19,2018-09-06
18858,(2012 PG5),False,.24308,18.7,1911-09-12,30092.2982034018,43573380,1980-10-05,2017-06-16
18859,(2012 PY19),False,.00971474,27.5,2003-06-30,13808.244025012,6951481.5,2012-08-13,2012-08-16
18860,(2012 PG6),False,.0532788,20.3,1900-06-28,29637.2823865167,24140640,2002-07-28,2018-07-06
18861,(2012 PK24),False,.000638765,23.8,1901-08-15,51982.7004908011,37831484,2012-08-13,2015-07-15
18862,(2012 QH8),False,.225308,21.2,1900-07-03,29023.1873713371,25148280,2012-08-19,2018-08-07
18863,(2012 QG42),True,.0136462,20.9,1900-09-16,29366.0785422909,10700837,2012-08-26,2015-06-11
18864,(2012 RN6),False,.053602,21.1,1936-09-08,60624.4759746309,21949190,2012-09-11,2012-10-10
18865,(2012 RJ15),False,.0871821,23.6,2005-09-22,40833.0642292613,37819428,2012-09-14,2012-09-22
18866,(2012 RL15),False,.077096,24.3,1902-03-22,44892.3257180363,33001192,2012-09-14,2012-09-22
18867,(2012 RX16),False,.204048,20.9,1904-10-23,4700.7284597966,27558048,2004-12-12,2012-12-07
18868,(2012 RT16),False,.0118265,26.9,1901-09-11,24679.5214562078,3151005.25,2012-09-15,2012-09-17
18869,(2012 SL8),False,.174097,20.8,1901-03-06,33268.4440463636,24096080,2012-09-16,2015-11-05
18870,(2012 SD22),True,.0157913,20.1,1900-02-18,32090.4676448911,3747674,2001-08-26,2013-04-20
18871,(2012 SN30),False,.305749,18.8,1906-03-25,70689.0986428102,30910924,2008-10-03,2018-09-09
18872,(2012 SG32),False,.117914,21.9,1917-08-25,20922.631040844,46275920,2012-09-22,2016-03-30
18873,(2012 SR56),False,.00353928,24.3,1902-04-16,31915.7427255099,13077723,2012-09-25,2018-04-14
18874,(2012 TT5),False,.0546408,21.8,1997-10-17,73830.2321219592,43894568,2012-10-06,2018-10-19
18875,(2012 TF53),True,.0463889,21.2,1903-12-01,19009.4921234952,7630108.5,2012-10-08,2017-09-12
